,pid,workload,n_ica,alpha,theta,beta,interval_id
43,7,low,0,6.249917522236007,12.647171641926578,22.024266493433117,8.0
44,9,low,0,8.538430547973492,2.5522905535154954,-5.732775518707026,0.0
45,9,high,0,7.873250366237372,3.8813397450856963,-2.8761445940455648,1.0
46,9,low,0,11.56456902212631,3.3597907029592715,-2.035515191170975,2.0
47,9,high,0,12.966439601931011,5.674481813850017,5.570312237501595,3.0
48,9,low,0,8.04912420880914,6.106679628940134,2.5640256266767554,4.0
49,9,high,0,10.785900524548072,8.300285692839855,7.019340821072528,5.0
50,9,low,0,13.08460988301791,4.821393488306771,0.3056906830764536,6.0
51,9,high,0,13.00221630409921,4.8592351954521265,1.3667149661932878,7.0
52,9,low,0,12.545621575440064,3.9411967056223216,-0.2410353660760145,8.0
53,9,high,0,14.461627200886564,5.270417016692128,2.107096469211021,9.0
54,9,low,0,15.243218195669954,6.550258359211937,4.577806002439016,10.0
55,9,high,0,15.759169433172934,5.790905322610439,3.5758162707617633,11.0
56,9,low,0,12.837780587762436,2.8341932938221626,-2.220656584501311,12.0
57,10,low,0,9.251588829960333,6.611006797726713,15.645214022616807,6.0
58,10,high,0,7.105833976877995,5.469281257726135,13.50996126168857,7.0
59,10,low,0,5.3984430565349335,5.765563896619282,15.334476098424624,8.0
60,10,high,0,7.995962730349037,7.059181090274085,16.603366697178895,9.0
61,10,low,0,4.857064674849817,5.282325333369432,12.927140360734532,10.0
62,10,high,0,5.660912424702032,5.788136847930792,18.1971676419091,11.0
63,10,low,0,6.784587970452634,7.200476320444933,18.828818369007305,12.0
64,10,high,0,5.2860449111905305,6.092175643666476,17.611370286063863,13.0
65,10,low,0,4.934606778126057,5.714367543284794,16.938828007608723,14.0
66,10,high,0,5.8424843660735375,6.237536680079173,18.454570000757407,15.0
67,10,low,0,6.0230188371162265,6.247328512405764,14.772297134545887,16.0
68,11,high,0,34.42522557480197,23.742106595463405,64.42929256689939,1.0
69,11,low,0,31.95609552779749,15.454484425027394,40.19915340184681,2.0
70,11,high,0,30.098060145469585,19.57538302146691,47.310346934502114,3.0
71,11,low,0,24.90805386220621,11.900978598822501,25.846284532334646,4.0
72,11,high,0,21.125027313870177,15.47910821611839,37.390984677523264,5.0
73,11,low,0,26.0870105793879,15.466819735505084,27.607365159437578,6.0
74,11,high,0,24.284506680326587,15.064040476378802,34.6492153183235,7.0
75,11,low,0,20.119536823606552,12.974203734428565,23.88279080918549,8.0
76,11,high,0,27.63889818461955,21.877718738120898,55.43202715871723,9.0
77,11,low,0,31.121694311644234,20.846454917456512,43.77790270297903,10.0
78,11,high,0,32.74472288345757,21.757818559519873,56.028941370511546,11.0
79,11,low,0,30.90894017179163,23.043033033643482,63.1732360521322,12.0
80,11,high,0,34.72850155966985,26.31407567446613,72.68432060707977,13.0
81,11,low,0,28.583361200816324,20.417306836181126,50.06806551314349,14.0
82,11,high,0,27.60721979985538,18.9683744750732,54.19980656877137,15.0
83,12,high,0,3.458495338181729,10.124902196829371,14.50587678822032,1.0
84,12,low,0,2.8732818124325656,8.14583095898183,8.738907567783745,2.0
85,12,high,0,1.2953182718772074,4.835412893342582,2.139941084584457,3.0
86,12,low,0,5.01108709672104,10.746484621834973,17.475424419743206,4.0
87,12,high,0,1.4202379612385585,5.500684747792462,4.897497072849908,5.0
88,12,low,0,0.7984322344844952,5.5423201683348085,2.290293961557419,6.0
89,12,high,0,1.278652619840236,5.245261493385137,1.9259401274038634,7.0
90,12,low,0,2.3848330342872615,7.65397174913186,6.827779720338616,8.0
91,13,high,0,25.626124576328962,9.114503157675985,14.87729430976084,3.0
92,13,low,0,16.48323094926084,6.007698137464836,5.2873938462372765,4.0
93,13,high,0,7.251977793666926,13.331999300113662,39.61019718121522,5.0
94,13,low,0,2.1738176002027836,7.351081730744769,7.584155766790382,6.0
95,13,high,0,3.585325720551267,7.871946083389423,15.065260294999918,7.0
96,13,low,0,2.827933685266677,7.031359051578624,10.812073514422464,8.0
97,13,high,0,1.967373269055494,5.039390561179959,3.2337609896993955,9.0
98,13,low,0,2.040949131470877,5.875031985167161,5.545754597419359,10.0
99,13,high,0,6.862691461415733,10.608219030823811,22.080246469564017,11.0
100,13,low,0,16.405031325576488,5.752565709880105,6.4200849909509135,12.0
101,13,high,0,20.50966787146087,8.313509608314174,17.85806087481207,13.0
102,13,low,0,22.008694276544944,18.039340893966294,39.50117589644552,14.0
103,14,low,0,10.914420511727116,17.394412835274363,36.89888015341645,0.0
104,14,high,0,7.804129334464413,13.631665501898166,28.184074195084072,1.0
105,14,low,0,9.129772852843116,10.921125004656686,20.88958519663838,2.0
106,14,high,0,13.355976323001828,14.539401901977145,33.66921791406727,3.0
